,Element Count,Element Name,Of Which are Numerical,source
12,258094.0,shareholderfunds,258094.0,uk-gaap-full
14,240395.0,netassetsliabilitiesincludingpensionassetliability,240395.0,uk-gaap-full
19,160318.0,creditorsduewithinoneyear,160318.0,uk-gaap-full
23,139584.0,sharecapitalallottedcalleduppaid,139584.0,uk-gaap-full
24,120765.0,cashbankinhand,120765.0,uk-gaap-full
27,90836.0,calledupsharecapital,90836.0,uk-gaap-full
29,87313.0,profitlossaccountreserve,87313.0,uk-gaap-full
33,57669.0,tangiblefixedassets,57669.0,uk-gaap-full
37,47536.0,creditorsdueafteroneyear,47536.0,uk-gaap-full
38,47438.0,tangiblefixedassetscostorvaluation,47438.0,uk-gaap-full
39,46299.0,tangiblefixedassetsdepreciation,46299.0,uk-gaap-full
40,44614.0,tangiblefixedassetsdepreciationchargedinperiod,44614.0,uk-gaap-full
42,35398.0,tangiblefixedassetsadditions,35398.0,uk-gaap-full
49,30540.0,provisionsforliabilitiescharges,30540.0,uk-gaap-full
51,27442.0,accrualsdeferredincome,27442.0,uk-gaap-full
60,25376.0,stocksinventory,25376.0,uk-gaap-full
62,23050.0,tangiblefixedassetsdisposals,23050.0,uk-gaap-full
64,22665.0,tangiblefixedassetsdepreciationdecreaseincreaseondisposals,22665.0,uk-gaap-full
65,19467.0,tangiblefixedassetsincreasedecreasefromrevaluations,19467.0,uk-gaap-full
67,19236.0,tangiblefixedassetsincreasedecreasefromtransfersbetweenitems,19236.0,uk-gaap-full
68,11017.0,intangiblefixedassets,11017.0,uk-gaap-full
73,7649.0,valuesharesallotted,7649.0,uk-gaap-full
74,7410.0,intangiblefixedassetscostorvaluation,7410.0,uk-gaap-full
75,6960.0,intangiblefixedassetsaggregateamortisationimpairment,6960.0,uk-gaap-full
76,5692.0,intangiblefixedassetsamortisationchargedinperiod,5692.0,uk-gaap-full
79,5031.0,capitalemployed,5031.0,uk-gaap-full
82,4477.0,secureddebts,4477.0,uk-gaap-full
85,4077.0,revaluationreserve,4077.0,uk-gaap-full
93,3486.0,sharepremiumaccount,3486.0,uk-gaap-full
95,3409.0,otheraggregatereserves,3409.0,uk-gaap-full
97,3334.0,intangiblefixedassetsadditions,3334.0,uk-gaap-full
100,3008.0,profitlossforperiod,3008.0,uk-gaap-full
101,2864.0,intangiblefixedassetsdisposals,2864.0,uk-gaap-full
102,2838.0,intangiblefixedassetsamortisationdecreaseincreaseondisposals,2838.0,uk-gaap-full
103,2742.0,intangiblefixedassetsincreasedecreasefromrevaluations,2742.0,uk-gaap-full
104,2739.0,intangiblefixedassetsincreasedecreasefromtransfersbetweenitems,2739.0,uk-gaap-full
105,2333.0,numbersharesissued,2333.0,uk-gaap-full
106,2327.0,nominalvaluesharesissued,2327.0,uk-gaap-full
114,1729.0,netassetsliabilityexcludingpensionassetliability,1729.0,uk-gaap-full
118,1500.0,turnovergrossoperatingrevenue,1500.0,uk-gaap-full
119,1498.0,othercreditorsduewithinoneyear,1498.0,uk-gaap-full
123,1192.0,capitalreserves,1192.0,uk-gaap-full
124,1164.0,taxonprofitorlossonordinaryactivities,1164.0,uk-gaap-full
125,1103.0,tradecreditorswithinoneyear,1103.0,uk-gaap-full
128,984.0,totaldividendpayment,984.0,uk-gaap-full
129,980.0,otherdebtorsdueafteroneyear,980.0,uk-gaap-full
130,968.0,taxationsocialsecurityduewithinoneyear,968.0,uk-gaap-full
140,813.0,considerationforsharesissued,813.0,uk-gaap-full
141,795.0,valuesharesallottedincreasedecreaseduringperiod,795.0,uk-gaap-full
146,738.0,debtorsduewithinoneyear,738.0,uk-gaap-full
154,710.0,tangiblefixedassetsdepreciationotherincreasedecrease,710.0,uk-gaap-full
155,706.0,instalmentdebtsdueafter5years,706.0,uk-gaap-full
157,669.0,numbersharesallottedincreasedecreaseduringperiod,669.0,uk-gaap-full
158,653.0,debtorsdueafteroneyear,653.0,uk-gaap-full
159,646.0,non-instalmentdebtsdueafter5years,646.0,uk-gaap-full
160,615.0,staffcosts,615.0,uk-gaap-full
162,589.0,corporationtaxduewithinoneyear,589.0,uk-gaap-full
163,587.0,otheroperatingchargesformat2,587.0,uk-gaap-full
164,572.0,amountduefromtorelatedparty,572.0,uk-gaap-full
172,465.0,capitalredemptionreserve,465.0,uk-gaap-full
173,453.0,depreciationotheramountswrittenofftangibleintangiblefixedassets,453.0,uk-gaap-full
174,448.0,prepaymentsaccruedincomecurrentasset,448.0,uk-gaap-full
178,400.0,cashbank,400.0,uk-gaap-full
179,396.0,othertaxationsocialsecuritywithinoneyear,396.0,uk-gaap-full
183,371.0,deferredtaxliability,371.0,uk-gaap-full
185,338.0,percentagesubsidiaryheld,338.0,uk-gaap-full
188,291.0,tradedebtors,291.0,uk-gaap-full
190,285.0,othercreditorsafteroneyear,285.0,uk-gaap-full
193,279.0,otherreserves,279.0,uk-gaap-full
195,269.0,vatduetotalcreditors,269.0,uk-gaap-full
196,261.0,fixedassetinvestmentscostorvaluation,261.0,uk-gaap-full
197,258.0,obligationsunderfinanceleasehirepurchasecontractsafteroneyear,258.0,uk-gaap-full
198,258.0,accrualsdeferredincomewithinoneyear,258.0,uk-gaap-full
199,251.0,ukcurrentcorporationtax,251.0,uk-gaap-full
200,237.0,depreciationtangiblefixedassetsexpense,237.0,uk-gaap-full
201,237.0,otherinterestreceivablesimilarincome,237.0,uk-gaap-full
203,217.0,loansfromdirectorsafteroneyear,217.0,uk-gaap-full
204,210.0,bankborrowingsoverdraftssecured,210.0,uk-gaap-full
206,196.0,interestpayablesimilarcharges,196.0,uk-gaap-full
209,154.0,sharecapitalauthorised,154.0,uk-gaap-full
210,153.0,obligationsunderfinanceleasehirepurchasecontractswithinoneyear,153.0,uk-gaap-full
214,138.0,ukcurrentcorporationtaxonincomeforperiod,138.0,uk-gaap-full
217,131.0,intangiblefixedassetsamortisationotherincreasedecrease,131.0,uk-gaap-full
218,116.0,calledupsharecapitalnot-paidcurrentasset,116.0,uk-gaap-full
221,102.0,provisionschargedcreditedtoprofitlossaccountduringperiod,102.0,uk-gaap-full
223,97.0,loansfromdirectorswithinoneyear,97.0,uk-gaap-full
227,85.0,fixedassetinvestmentsadditions,85.0,uk-gaap-full
228,81.0,provisionsadditionalamountsprovided,81.0,uk-gaap-full
229,79.0,depreciationimpairmentreversaltangiblefixedassets,79.0,uk-gaap-full
230,79.0,fixedassetinvestmentsprovisions,79.0,uk-gaap-full
231,72.0,differencebetweenaccumulateddepreciationamortisationcapitalallowances,72.0,uk-gaap-full
235,67.0,totalreserves,67.0,uk-gaap-full
236,64.0,amountsowedtogroupundertakingsotherparticipatinginterestswithinoneyear,64.0,uk-gaap-full
237,64.0,otherdebtorswithinoneyear,64.0,uk-gaap-full
239,61.0,borrowings,61.0,uk-gaap-full
240,61.0,aggregatedividendspaidinfinancialyear,61.0,uk-gaap-full
241,61.0,vatcurrentasset,61.0,uk-gaap-full
242,60.0,tradedebtorswithinoneyear,60.0,uk-gaap-full
247,53.0,totalukforeigncurrenttaxafteradjustmentsrelief,53.0,uk-gaap-full
248,50.0,bankborrowingssecured,50.0,uk-gaap-full
249,50.0,stocksrawmaterialsconsumables,50.0,uk-gaap-full
251,49.0,otherborrowings,49.0,uk-gaap-full
253,42.0,taxongroupprofitonordinaryactivitiesstandarduktaxrate,42.0,uk-gaap-full
254,40.0,otherloansafterfiveyearsbyinstalments,40.0,uk-gaap-full
255,39.0,amountsowedbygroupundertakingsotherparticipatinginterestswithinoneyear,39.0,uk-gaap-full
256,39.0,amountsowedtorelatedpartieswithinoneyear,39.0,uk-gaap-full
258,38.0,percentageassociateheld,38.0,uk-gaap-full
260,38.0,gainlossfromdisposalfixedassets,38.0,uk-gaap-full
263,36.0,fixedassetinvestmentsdisposals,36.0,uk-gaap-full
271,32.0,amortisationintangibleassetsexpense,32.0,uk-gaap-full
274,32.0,ukdeferredtax,32.0,uk-gaap-full
276,30.0,pensioncosts,30.0,uk-gaap-full
277,30.0,interimpayment,30.0,uk-gaap-full
279,29.0,bankborrowingsoverdraftsunsecured,29.0,uk-gaap-full
280,27.0,netdebtfunds,27.0,uk-gaap-full
281,27.0,vatduewithinoneyear,27.0,uk-gaap-full
282,27.0,leasedassetsincludedintangiblefixedassets,27.0,uk-gaap-full
