variable,value,record
amountsowedtoparentundertakingwithinoneyear,80762.0,1
amountsowedtoparentundertakingwithinoneyear,173419.0,1
consolidationpolicy,Exemption has been taken from preparing group accounts on the grounds that the company is part ofa small group.,1
consolidationpolicy,"In the parent company financial statements, the cost of a business combination is the fair value at the acquisition date of the assets given, equity instruments issued and liabilities incurred or assumed, plus costs directly attributable to the business combination. The excess of the cost of a business combination over the fair value of the identifiable assets, liabilities and contingent liabilities acquired is recognised as goodwill. The cost of the combination includes the estimated amount of contingent consideration that is probable and can be measured reliably, and is adjusted for changes in contingent consideration after the acquisition date.",5
consolidationpolicy,"The company has taken advantage of exemption, under the terms of Financial Reporting Standard 102'The Financial Reporting Standard applicable in the UK and Republic of Ireland', not to disclose relatedparty transactions with wholly owned subsidiaries within the group.",1
consolidationpolicy,The company has taken advantage of the exemption available under Section 398 of the Companies Act 2006not to prepare group accounts.,1
consolidationpolicy,The company is entitled to exemption from preparing group accounts under Section 248 of the Companies Act1985.,1
consolidationpolicy,The consolidated financial statements consolidate the financial statements of the company and its subsidiary undertakings drawn up to 30 September 2017.,1
consolidationpolicy,The financial statements contain information about Barkby Knives (Leicester) Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company is exempt from therequirement to prepare consolidated financial statements as the group it heads qualifies as a small company.,1
consolidationpolicy,The financial statements contain information about Barrelfield Limited as an individual company and do not containconsolidated financial information as the parent of a group. The company has taken the option under Section 398 of theCompanies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about Breakthrough Innovations Group Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about J S D Donsons Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about J S D Trimat Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about K & B Rouse Holdings Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The companyhas taken the option under Section 398 of the Companies Act 2006 not to prepare consolidatedfinancial statements. ,1
consolidationpolicy,The financial statements contain information about Mil Tu Fit Manufacturing Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about Perthshire Glazing Co. Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. Thecompany has taken the option under Section 398 of the Companies Act 2006 not to prepareconsolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about R.M.D. Holdings Limited as an individual company and do not contain consolidatedfinancial information as the parent of a group. The company has taken the option under Section 398 of the Companies Act 2006 not toprepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about Rockcliffe Property Co Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The companyhas taken the option under Section 398 of the Companies Act 2006 not to prepare consolidatedfinancial statements. ,1
consolidationpolicy,The financial statements contain information about Sign Efex Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about Specialist Aviation Ltd as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about Three Daughters Trading Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about Trojan Free Fighters (Cheltenham) Ltd as an individualcompany and do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about Yates Engineering Services Limited as anindividual company and do not contain consolidated financial information as the parent of a group. Thecompany has taken the option under Section 398 of the Companies Act 2006 not to prepareconsolidated financial statements. ,1
consolidationpolicy,The financial statements contain information about the company as an individual entity and do not containconsolidated information as the parent of a group. The company has taken advantage of the exemptionavailable under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements as inthe director's opinion the group is small.,1
consolidationpolicy,The financial statements present information about the company as an individual undertaking and not about its group. The company and its subsidiary undertaking comprise a small-sized group. The company has therefore taken advantage of the exemptions provided by section 399 of the Companies Act 2006  not to prepare group accounts.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,"In the opinion of the directors, the company and its subsidiary undertakings comprise a small group. Thecompany has therefore taken advantage of the exemption provided by Section 398 of the Companies Act 2006not to prepare group accounts.",1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The company has taken advantage of the exemption under section ,2
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,"The company has taken advantage of the exemption under section  399  of the Companies Act 2006 not to prepare consolidated accounts , on the basis that the group of which this is the parent qualifies as a small group . The financial statements present information about the company as an individual entity and not about its group .",1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The company has taken advantage of the option not to prepare consolidated abridged financial statements contained in Section 398 of the Companies Act 2006 on the basis that the company and its subsidiary undertakings comprise a small group.,6
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The company has taken advantage of the option not to prepare consolidated financial statements contained in Section 398 of the Companies Act 2006 on the basis that the company and its subsidiary undertakings comprise a small group.,24
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The company is a parent company subject to the small companies regime. The company and its subsidiary comprise a small group. The company has therefore taken advantage of the option provided by section 398 of the Companies Act 2006 not to prepare group accounts.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The company is entitled to the exemption in accordance with section 297 of the Companies Act 2014 from the obligation to prepare group accounts.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The entity has taken advantage of the option not to prepare consolidated financial statements contained in Section 399 of the Companies Act 2006 on the basis that the entity and its subsidiary undertakings comprise a small group.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about 3S Investments Ltd as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about 3Ts Top Tool Trading Company Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about 4Sure Holdings Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about A and A Acquisitions Ltd as an individualcompany and do not contain consolidated financial information as the parent of a group. Thecompany has taken the option under Section 398 of the Companies Act 2006 not to prepareconsolidated financial statements. ,1
