,conf,currYr,label,source,value,year,unit,doc_companieshouseregisterednumber
0,92.0,1.0,Tangible fixed assets,Tangible fixed assets 10 39323082 45030069,39323082,2016.0,£,./example_data_PDF/02959325.pdf
1,87.0,0.0,Tangible fixed assets,Tangible fixed assets 10 39323082 45030069,45030069,2015.0,£,./example_data_PDF/02959325.pdf
2,94.0,1.0,Deferred tax asset,Deferred tax asset 16 465415 1345485,465415,2016.0,£,./example_data_PDF/02959325.pdf
3,94.0,0.0,Deferred tax asset,Deferred tax asset 16 465415 1345485,1345485,2015.0,£,./example_data_PDF/02959325.pdf
4,94.0,1.0,Stocks,Stocks 11 1736915 1585099,1736915,2016.0,£,./example_data_PDF/02959325.pdf
5,96.0,0.0,Stocks,Stocks 11 1736915 1585099,1585099,2015.0,£,./example_data_PDF/02959325.pdf
6,45.0,1.0,Amounts falling due within one year, Amounts falling due within one year 12 78926622 34374351,78926622,2016.0,£,./example_data_PDF/02959325.pdf
7,96.0,0.0,Amounts falling due within one year, Amounts falling due within one year 12 78926622 34374351,34374351,2015.0,£,./example_data_PDF/02959325.pdf
8,94.0,1.0,Amounts falling due after one year, Amounts falling due after one year 13 710168 1531507,710168,2016.0,£,./example_data_PDF/02959325.pdf
9,96.0,0.0,Amounts falling due after one year, Amounts falling due after one year 13 710168 1531507,1531507,2015.0,£,./example_data_PDF/02959325.pdf
10,87.0,1.0,Cash at bank and in hand,Cash at bank and in hand 12911423 73603577,12911423,2016.0,£,./example_data_PDF/02959325.pdf
11,93.0,0.0,Cash at bank and in hand,Cash at bank and in hand 12911423 73603577,73603577,2015.0,£,./example_data_PDF/02959325.pdf
12,95.0,1.0,CREDITORS  amounts falling due within one year,one year 14 52614808 84037783,52614808,2016.0,£,./example_data_PDF/02959325.pdf
13,96.0,0.0,CREDITORS  amounts falling due within one year,one year 14 52614808 84037783,84037783,2015.0,£,./example_data_PDF/02959325.pdf
14,95.0,1.0,NET CURRENT ASSETS,NET CURRENT ASSETS 42135735 28402236,42135735,2016.0,£,./example_data_PDF/02959325.pdf
15,84.0,0.0,NET CURRENT ASSETS,NET CURRENT ASSETS 42135735 28402236,28402236,2015.0,£,./example_data_PDF/02959325.pdf
16,94.0,1.0,LIABILITIES,LIABILITIES 1458817 73432305,1458817,2016.0,£,./example_data_PDF/02959325.pdf
17,77.0,0.0,LIABILITIES,LIABILITIES 1458817 73432305,73432305,2015.0,£,./example_data_PDF/02959325.pdf
